name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,key,has_D,haki.observation,haki.armament,haki.conqueror
"""Local Sea Monster""",1.0,,fooshavillage'slocalseaking,eastblue,Alive,,,,,,,,"""localseamonster""",0.0,0.0,0.0,0.0
A.O.,551.0,aopirates;subordinateofthewhitebeardpirates,pirate;captain,,Unknown,,,,,,,,a.o.,0.0,0.0,0.0,0.0
Abdullah,704.0,ideopirates;strawhatgrandfleet,pirate;criminal;bountyhunter,,Alive,,,,,,,,abdullah,0.0,0.0,0.0,0.0
Absalom,444.0,thrillerbarkpirates,reportersoldierzombieandgeneralzombieleader,westblue,Deceased,195.0,300.0,F,Clear-Clear Fruit,Paramecia,,,absalom,0.0,0.0,0.0,0.0
Abscondo,398.0,,citizen,,Alive,,,,,,,,abscondo,0.0,0.0,0.0,0.0
Adelle,608.0,mermaidcafé,dancer,grandline,Alive,,,,,,mermaidcove,,adelle,0.0,0.0,0.0,0.0
Aegir,1134.0,,student,,Alive,,,,,,elbaph,,aegir,0.0,0.0,0.0,0.0
Aggie 68,552.0,spadepirates,pirate,,Alive,,,,,,,,aggie68,0.0,0.0,0.0,0.0
Agilia,706.0,corridacolosseum,gladiator,,Alive,,,,,,,,agilia,0.0,0.0,0.0,0.0
Agotogi,163.0,hisownbanditgang,bandit,,Alive,,,,,,arabasta,,agotogi,0.0,0.0,0.0,0.0
Agushily,578.0,allyofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,agushily,0.0,0.0,0.0,0.0
Agyo,706.0,corridacolosseum,,,Alive,,,,,,,,agyo,0.0,0.0,0.0,0.0
Ahiru,905.0,revolutionaryarmy,eastarmydeputycommander,,Alive,,,,,,baltigo;momoiroisland,,ahiru,0.0,0.0,0.0,0.0
Aisa,249.0,shandia;wagomuland,,skyislands,Alive,140.0,,F,,,,,aisa,0.0,1.0,0.0,0.0
Akumai,129.0,baroqueworks,,grandline,Alive,,,,,,,,akumai,0.0,0.0,0.0,0.0
Aladdin,620.0,sunpirates;ryugukingdom,pirate;doctor;firstmate;soldier;slave,grandline,Alive,627.0,,XF,,,,,aladdin,0.0,0.0,0.0,0.0
Albion,600.0,fakestrawhatcrew;hisowncrew,pirate;captain,,Alive,,,,,,,92000000.0,albion,0.0,0.0,0.0,0.0
Alice,487.0,galley-lacompany,secretary,,Alive,,,,,,,,alice,0.0,0.0,0.0,0.0
Ally,658.0,,,,Alive,,,,,,,,ally,0.0,0.0,0.0,0.0
Alpaca-Man,934.0,beastspirates,gifter,,Alive,,,,Alpaca Smile,Artificial Zoan,,,alpaca-man,0.0,0.0,0.0,0.0
Alpha,1100.0,cp8,cipherpolagent;nurse,,Alive,,,,,,,,alpha,0.0,0.0,0.0,0.0
Alvida,2.0,crossguild;buggy'sdelivery;buggyandalvidaalliance;buggypirates;alvidapirates,piratecaptain;,eastblue,Alive,198.0,,S,Slip-Slip Fruit,Paramecia,karaibariisland;goatisland,5000000.0,alvida,0.0,0.0,0.0,0.0
Amadob,558.0,allyofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,amadob,0.0,0.0,0.0,0.0
Amazon,238.0,wagomuland,gatekeeperofskypiea;ticketsaleswoman,grandline,Alive,120.0,,X,,,skypiea,,amazon,0.0,0.0,0.0,0.0
Andre,558.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,andre,0.0,0.0,0.0,0.0
Ange,1131.0,walrusschool,languageteacher;librarian;saul'sassistant,,Alive,,,,,,elbaph,,ange,0.0,0.0,0.0,0.0
Anjo,1.0,,,eastblue,Alive,,,,,,,,anjo,0.0,0.0,0.0,0.0
Ankoro,606.0,flyingpirates,pet,,Alive,,,,,,,,ankoro,0.0,0.0,0.0,0.0
Antlerkov,537.0,newkamaland,dancer,,Alive,,,,,,,,antlerkov,0.0,0.0,0.0,0.0
Antonio,497.0,antonio'sgraman,storeowner,,Alive,,,,,,sabaodyarchipelago,,antonio,0.0,0.0,0.0,0.0
Aphelandra,514.0,kuja;kujapirates,warrior;pirate,calmbelt,Alive,,,,,,amazonlily,,aphelandra,0.0,0.0,0.0,0.0
Aramaki,905.0,marines,admiral;policeofficer,southblue,Alive,308.0,,X,Woods-Woods Fruit,Logia,tayakingdom,,aramaki,0.0,1.0,1.0,0.0
