name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,has_D,key,haki.observation,haki.armament,haki.conqueror
"""Local Sea Monster"";Master of the Near Sea;Lord of the Coast",1.0,,fooshavillage'slocalseaking,eastblue,Alive,,,,,,,,0.0,"""localseamonster"";masterofthenearsea;lordofthecoast",0.0,0.0,0.0
A.O. ;A.O,551.0,aopirates;subordinateofthewhitebeardpirates,pirate;captain,,Unknown,,,,,,,,0.0,a.o.;a.o,0.0,0.0,0.0
Abdullah,704.0,ideopirates;strawhatgrandfleet,pirate;criminal;bountyhunter,,Alive,,,,,,,,0.0,abdullah,0.0,0.0,0.0
Absalom,444.0,thrillerbarkpirates,reportersoldierzombieandgeneralzombieleader,westblue,Deceased,195.0,300.0,F,Clear-Clear Fruit,Paramecia,,,0.0,absalom,0.0,0.0,0.0
Abscondo,398.0,,citizen,,Alive,,,,,,,,0.0,abscondo,0.0,0.0,0.0
Adelle,608.0,mermaidcafé,dancer,grandline,Alive,,,,,,mermaidcove,,0.0,adelle,0.0,0.0,0.0
Aegir,1134.0,,student,,Alive,,,,,,elbaph,,0.0,aegir,0.0,0.0,0.0
Aggie 68,552.0,spadepirates,pirate,,Alive,,,,,,,,0.0,aggie68,0.0,0.0,0.0
Agilia; Acilia,706.0,corridacolosseum,gladiator,,Alive,,,,,,,,0.0,agilia;acilia,0.0,0.0,0.0
Agotogi,163.0,hisownbanditgang,bandit,,Alive,,,,,,arabasta,,0.0,agotogi,0.0,0.0,0.0
Agushily,578.0,allyofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,agushily,0.0,0.0,0.0
Agyo,706.0,corridacolosseum,,,Alive,,,,,,,,0.0,agyo,0.0,0.0,0.0
Ahiru,905.0,revolutionaryarmy,eastarmydeputycommander,,Alive,,,,,,baltigo;momoiroisland,,0.0,ahiru,0.0,0.0,0.0
Aisa,249.0,shandia;wagomuland,,skyislands,Alive,140.0,,F,,,,,0.0,aisa,1.0,0.0,0.0
Akumai,129.0,baroqueworks,,grandline,Alive,,,,,,,,0.0,akumai,0.0,0.0,0.0
Aladdin,620.0,sunpirates;ryugukingdom,pirate;doctor;firstmate;soldier;slave,grandline,Alive,627.0,,XF,,,,,0.0,aladdin,0.0,0.0,0.0
Albion,600.0,fakestrawhatcrew;hisowncrew,pirate;captain,,Alive,,,,,,,92000000.0,0.0,albion,0.0,0.0,0.0
Alice,487.0,galley-lacompany,secretary,,Alive,,,,,,,,0.0,alice,0.0,0.0,0.0
Ally,658.0,,,,Alive,,,,,,,,0.0,ally,0.0,0.0,0.0
Alpaca-Man,934.0,beastspirates,gifter,,Alive,,,,Alpaca Smile,Artificial Zoan,,,0.0,alpaca-man,0.0,0.0,0.0
Alpha,1100.0,cp8,cipherpolagent;nurse,,Alive,,,,,,,,0.0,alpha,0.0,0.0,0.0
Alvida,2.0,crossguild;buggy'sdelivery;buggyandalvidaalliance;buggypirates;alvidapirates,piratecaptain;,eastblue,Alive,198.0,,S,Slip-Slip Fruit,Paramecia,karaibariisland;goatisland,5000000.0,0.0,alvida,0.0,0.0,0.0
Amadob,558.0,allyofthewhitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,amadob,0.0,0.0,0.0
Amazon,238.0,wagomuland,gatekeeperofskypiea;ticketsaleswoman,grandline,Alive,120.0,,X,,,skypiea,,0.0,amazon,0.0,0.0,0.0
Andre,558.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,andre,0.0,0.0,0.0
Ange,1131.0,walrusschool,languageteacher;librarian;saul'sassistant,,Alive,,,,,,elbaph,,0.0,ange,0.0,0.0,0.0
Anjo,1.0,,,eastblue,Alive,,,,,,,,0.0,anjo,0.0,0.0,0.0
Ankoro,606.0,flyingpirates,pet,,Alive,,,,,,,,0.0,ankoro,0.0,0.0,0.0
Antlerkov,537.0,newkamaland,dancer,,Alive,,,,,,,,0.0,antlerkov,0.0,0.0,0.0
Antonio,497.0,antonio'sgraman,storeowner,,Alive,,,,,,sabaodyarchipelago,,0.0,antonio,0.0,0.0,0.0
Aphelandra,514.0,kuja;kujapirates,warrior;pirate,calmbelt,Alive,,,,,,amazonlily,,0.0,aphelandra,0.0,0.0,0.0
Aramaki,905.0,marines,admiral;policeofficer,southblue,Alive,308.0,,X,Woods-Woods Fruit,Logia,tayakingdom,,0.0,aramaki,1.0,1.0,0.0
Aristocroc,831.0,bigmompirates,,,Alive,,,,,,wholecakeisland,,0.0,aristocroc,0.0,0.0,0.0
Arlong,69.0,arlongpirates;sunpirates;impeldown,piratecaptain;prisonerofthegreatprison,grandline,Alive,263.0,,F,,,fish-mandistrictarlongpark,20000000.0,0.0,arlong,0.0,0.0,0.0
Arthur,556.0,whitebeardpirates,pirate;captain,,Alive,,,,,,,,0.0,arthur,0.0,0.0,0.0
Ashura Doji,920.0,mt.atamathieves;kouzukifamily;nineredscabbards;ninja-pirate-mink-samuraialliance,bandit;retainerofthekouzukifamily;yakuzaboss;samurai,grandline,Deceased,544.0,,X,,,wanocountry,,0.0,ashuradoji,1.0,1.0,0.0
Aswa,163.0,neutralcivilian,,,Unknown,,,,,,arabasta,,0.0,aswa,0.0,0.0,0.0
AtatchiAttach,436.0,worldeconomynewspaper;marinesphotographydepartment,reporter;marinephotographydepartmentchief,,Unknown,,,,,,,,0.0,atatchiattach,0.0,0.0,0.0
Atlas,1062.0,marines,,grandline,Alive,729.0,,S,,,egghead,,0.0,atlas,0.0,0.0,0.0
Atmos,553.0,whitebeardpirates,13thdivisioncommander;pirate,westblue,Alive,,,,,,,,0.0,atmos,0.0,0.0,0.0
Avalo Pizarro,575.0,blackbeardpirates;impeldown,pirate;titaniccaptain;prisonerofthegreatprison;king,northblue,Alive,505.0,,X,Isle-Isle Fruit,Paramecia,hachinosu,,0.0,avalopizarro,0.0,0.0,0.0
Babanuki,934.0,beastspirates;tama;ninja-pirate-mink-samuraialliance,shinuchi;wardenoftheprisonermine,,Alive,,,,Elephant Smile,Artificial Zoan,,,0.0,babanuki,0.0,0.0,0.0
Babe,160.0,newspiderscafe;baroqueworks,cafedeliveryboy;officeragent,grandline,Alive,218.0,,F,,,,3200000.0,0.0,babe,0.0,0.0,0.0
Baburu,690.0,,,grandline,Alive,,,,,,,,0.0,baburu,0.0,0.0,0.0
Baby 5Baby Five,682.0,happonavy;chinjaofamily;strawhatgrandfleet;donquixotepirates,pirate;pirateofficer;servant;assassin,northblue,Alive,181.0,,XF,Arms-Arms Fruit,Paramecia,kuenvillage;spidermiles;dressrosa;kanocountry,,0.0,baby5babyfive,0.0,0.0,0.0
Bacchy,43.0,,,eastblue,Unknown,,,,,,,,0.0,bacchy,0.0,0.0,0.0
"Bacura ,Bakula",516.0,kuja,pet;executioner,calmbelt,Alive,,,,,,amazonlily,,0.0,"bacura,bakula",0.0,0.0,0.0
Baggaly,561.0,whitebeardpirates,piratecaptain,,Alive,,,,,,,,0.0,baggaly,0.0,0.0,0.0
Bancro,967.0,rogerpirates,pirate,,Unknown,,,,,,,,0.0,bancro,0.0,0.0,0.0
Bankina ;Banchina,41.0,,,eastblue,Deceased,,,,,,,,0.0,bankina;banchina,0.0,0.0,0.0
Banshee,552.0,spadepirates,,,Alive,,,,,,,,0.0,banshee,0.0,0.0,0.0
Banzaburo,960.0,kouzukifamily,retainerofthekouzukifamily;foodtaster,,Deceased,,,,,,wanocountry,,0.0,banzaburo,0.0,0.0,0.0
Bao Huang,979.0,beastspirates,shinuchi;mary;scheduler,,Alive,,,,Flying Squirrel Smile,Artificial Zoan,,,0.0,baohuang,0.0,0.0,0.0
Bariete,804.0,mokomodukedom;ninja-pirate-mink-samuraialliance,reconsquad;guard,,Alive,,,,,,zou,,0.0,bariete,0.0,0.0,0.0
Barry,552.0,spadepirates,pirate,,Alive,,,,,,,,0.0,barry,0.0,0.0,0.0
Bartholomew Kuma,233.0,revolutionaryarmy;freedomfighters;sevenwarlordsofthesea;sorbetkingdom,armycommanderoftherevolutionaryarmy;slave;warlordofthesea;kingofsorbetkingdom;pastor,southblue,Alive,689.0,,X,Paw-Paw Fruit,Paramecia,sorbetkingdom;baltigo;egghead;marygeoise;sabaodyarchipelago,296000000.0,0.0,bartholomewkuma,0.0,1.0,0.0
Bartolomeo,705.0,bartoclub;hisownmafiafamily;strawhatgrandfleet,captainofthesecondshipofthestrawhatgrandfleet;piratecaptain;mafialeader,eastblue,Unknown,220.0,,X,Barrier-Barrier Fruit,Paramecia,,150000000.0,0.0,bartolomeo,0.0,0.0,0.0
Basil Hawkins,498.0,hawkinspirates;beastspirates,pirate;captain;shinuchi,northblue,Unknown,210.0,,S,Straw-Straw Fruit,Paramecia,,249000000.0,0.0,basilhawkins,1.0,1.0,0.0
Basilisk,528.0,worldgovernment;impeldown,level2guardian,westblue,Alive,,,,,,,,0.0,basilisk,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,0.0,baskerville,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,0.0,baskerville,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,0.0,baskerville,0.0,0.0,0.0
Bastille,553.0,marines,viceadmiral,grandline,Alive,291.0,,F,,,,,0.0,bastille,1.0,1.0,0.0
Bat-Man Batman,914.0,beastspirates,gifter,,Alive,,,,Bat Smile,Artificial Zoan,,,0.0,bat-manbatman,0.0,0.0,0.0
Baxcon,718.0,tontattakingdomscoutingunit;tontattapirates;strawhatgrandfleet,scout;pirate,,Alive,,,,,,,,0.0,baxcon,0.0,0.0,0.0
Bazeko,668.0,marines;g-5,marineofficer,,Alive,,,,,,g-5,,0.0,bazeko,0.0,0.0,0.0
BB BB,805.0,mokomodukedom;guardians;;ninja-pirate-mink-samuraialliance,guardian,,Alive,,,,,,zou,,0.0,bbbb,0.0,0.0,0.0
Beer VI,823.0,,kingoftheroshwankingdom,,Alive,,,,,,roshwankingdom,,0.0,beervi,0.0,0.0,0.0
Beeyo ;Biyo,658.0,,,,Alive,,,,,,,,0.0,beeyo;biyo,0.0,0.0,0.0
Bekori,1097.0,,king,,Unknown,,,,,,sorbetkingdom,,0.0,bekori,0.0,0.0,0.0
Belladonna,514.0,kuja,doctor,calmbelt,Alive,,,,,,amazonlily,,0.0,belladonna,0.0,0.0,0.0
Bellamy,222.0,donquixotepirates;bellamypirates,dyer;piratecaptain,,Alive,240.0,,F,Boing-Boing Fruit,Paramecia,dressrosanotice,55000000.0,0.0,bellamy,1.0,1.0,0.0
Belle-Mère ;Bellemere Bell-mère,77.0,marines,mikanfarmer;marineofficer,eastblue,Deceased,186.0,,S,,,cocoyasivillage,,0.0,belle-mère;bellemerebell-mère,0.0,0.0,0.0
Belo Betty,904.0,revolutionaryarmy,eastarmycommanderoftherevolutionaryarmy,eastblue,Alive,196.0,,XF,Pump-Pump Fruit,Paramecia,baltigo;momoiroisland,457000000.0,0.0,belobetty,1.0,1.0,0.0
,,,,,,,,,,,,,,,0.0,1.0,0.0
Benn Beckman;Ben Beckman,1.0,redhairpirates,pirate;firstmate,northblue,Alive,206.0,,X,,,,,0.0,bennbeckman;benbeckman,0.0,0.0,0.0
Bent,1134.0,walrusschool,student,,Alive,,,,,,elbaph,,0.0,bent,0.0,0.0,0.0
Bentham,129.0,newkamaland;baroqueworks,queenofnewkamaland;officeragent;prisonerofthegreatprison,eastblue,Alive,238.0,,F,Clone-Clone Fruit,Paramecia,,32000000.0,0.0,bentham,0.0,0.0,0.0
Bepo,498.0,heartpirates;ninja-pirate-mink-samuraialliance,pirate;navigator;guardians'helper,zou,Alive,240.0,,S,,,zou;swallowisland,500.0,0.0,bepo,0.0,0.0,0.0
