name,apparition,affiliations,occupations,origin,status,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty,key,haki.observation,haki.armament,haki.conqueror
"""Local Sea Monster""",1.0,,fooshavillage'slocalseaking,eastblue,Alive,,,,,,,,"""localseamonster""",0.0,0.0,0.0
A.O.,551.0,aopirates,pirate,,Unknown,,,,,,,,a.o.,0.0,0.0,0.0
Abdullah,704.0,ideopirates,pirate;criminal,,Alive,,,,,,,,abdullah,0.0,0.0,0.0
Absalom,444.0,thrillerbarkpirates,reportersoldierzombieandgeneralzombieleader,westblue,Deceased,195.0,300.0,F,Clear-Clear Fruit,Paramecia,,,absalom,0.0,0.0,0.0
Abscondo,398.0,,citizen,,Alive,,,,,,,,abscondo,0.0,0.0,0.0
Adelle,608.0,mermaidcafé,dancer,grandline,Alive,,,,,,mermaidcove,,adelle,0.0,0.0,0.0
Aegir,1134.0,,student,,Alive,,,,,,elbaph,,aegir,0.0,0.0,0.0
Aggie 68,552.0,spadepirates,pirate,,Alive,,,,,,,,aggie68,0.0,0.0,0.0
Agilia,706.0,corridacolosseum,gladiator,,Alive,,,,,,,,agilia,0.0,0.0,0.0
Agotogi,163.0,hisownbanditgang,bandit,,Alive,,,,,,arabasta,,agotogi,0.0,0.0,0.0
Agushily,578.0,allyofthewhitebeardpirates,pirate,,Alive,,,,,,,,agushily,0.0,0.0,0.0
Agyo,706.0,corridacolosseum,,,Alive,,,,,,,,agyo,0.0,0.0,0.0
Ahiru,905.0,revolutionaryarmy,eastarmydeputycommander,,Alive,,,,,,baltigo,,ahiru,0.0,0.0,0.0
Aisa,249.0,shandia,,skyislands,Alive,140.0,,F,,,,,aisa,1.0,0.0,0.0
Akumai,129.0,baroqueworks,,grandline,Alive,,,,,,,,akumai,0.0,0.0,0.0
Aladdin,620.0,sunpirates,pirate,grandline,Alive,627.0,,XF,,,,,aladdin,0.0,0.0,0.0
Albion,600.0,fakestrawhatcrew,pirate,,Alive,,,,,,,92000000.0,albion,0.0,0.0,0.0
Alice,487.0,galley-lacompany,secretary,,Alive,,,,,,,,alice,0.0,0.0,0.0
Ally,658.0,,,,Alive,,,,,,,,ally,0.0,0.0,0.0
Alpaca-Man,934.0,beastspirates,gifter,,Alive,,,,Alpaca Smile,Artificial Zoan,,,alpaca-man,0.0,0.0,0.0
Alpha,1100.0,cp8,cipherpolagent,,Alive,,,,,,,,alpha,0.0,0.0,0.0
Alvida,2.0,crossguild,piratecaptain,eastblue,Alive,198.0,,S,Slip-Slip Fruit,Paramecia,karaibariisland,5000000.0,alvida,0.0,0.0,0.0
Amadob,558.0,allyofthewhitebeardpirates,pirate,,Alive,,,,,,,,amadob,0.0,0.0,0.0
Amazon,238.0,wagomuland,gatekeeperofskypiea,grandline,Alive,120.0,,X,,,skypiea,,amazon,0.0,0.0,0.0
Andre,558.0,whitebeardpirates,pirate,,Alive,,,,,,,,andre,0.0,0.0,0.0
Ange,1131.0,walrusschool,languageteacher,,Alive,,,,,,elbaph,,ange,0.0,0.0,0.0
Anjo,1.0,,,eastblue,Alive,,,,,,,,anjo,0.0,0.0,0.0
Ankoro,606.0,flyingpirates,pet,,Alive,,,,,,,,ankoro,0.0,0.0,0.0
Antlerkov,537.0,newkamaland,dancer,,Alive,,,,,,,,antlerkov,0.0,0.0,0.0
Antonio,497.0,antonio'sgraman,storeowner,,Alive,,,,,,sabaodyarchipelago,,antonio,0.0,0.0,0.0
Aphelandra,514.0,kuja,warrior;pirate,calmbelt,Alive,,,,,,amazonlily,,aphelandra,0.0,0.0,0.0
Aramaki,905.0,marines,admiral,southblue,Alive,308.0,,X,Woods-Woods Fruit,Logia,tayakingdom,,aramaki,1.0,1.0,0.0
Aristocroc,831.0,bigmompirates,,,Alive,,,,,,wholecakeisland,,aristocroc,0.0,0.0,0.0
Arlong,69.0,arlongpirates,piratecaptain,grandline,Alive,263.0,,F,,,fish-mandistrictarlongpark,20000000.0,arlong,0.0,0.0,0.0
Arthur,556.0,whitebeardpirates,pirate,,Alive,,,,,,,,arthur,0.0,0.0,0.0
Ashura Doji,920.0,mt.atamathieves,bandit,grandline,Deceased,544.0,,X,,,wanocountry,,ashuradoji,1.0,1.0,0.0
Aswa,163.0,neutralcivilian,,,Unknown,,,,,,arabasta,,aswa,0.0,0.0,0.0
AtatchiAttach,436.0,worldeconomynewspaper,reporter,,Unknown,,,,,,,,atatchiattach,0.0,0.0,0.0
Atlas,1062.0,marines,,grandline,Alive,729.0,,S,,,egghead,,atlas,0.0,0.0,0.0
Atmos,553.0,whitebeardpirates,13thdivisioncommander,westblue,Alive,,,,,,,,atmos,0.0,0.0,0.0
Avalo Pizarro,575.0,blackbeardpirates,pirate,northblue,Alive,505.0,,X,Isle-Isle Fruit,Paramecia,hachinosu,,avalopizarro,0.0,0.0,0.0
Babanuki,934.0,beastspirates,shinuchi,,Alive,,,,Elephant Smile,Artificial Zoan,,,babanuki,0.0,0.0,0.0
Babe,160.0,newspiderscafe,cafedeliveryboy,grandline,Alive,218.0,,F,,,,3200000.0,babe,0.0,0.0,0.0
Baburu,690.0,,,grandline,Alive,,,,,,,,baburu,0.0,0.0,0.0
Baby 5Baby Five,682.0,happonavy,pirate,northblue,Alive,181.0,,XF,Arms-Arms Fruit,Paramecia,kuenvillage,,baby5babyfive,0.0,0.0,0.0
Bacchy,43.0,,,eastblue,Unknown,,,,,,,,bacchy,0.0,0.0,0.0
"Bacura ,Bakula",516.0,kuja,pet,calmbelt,Alive,,,,,,amazonlily,,"bacura,bakula",0.0,0.0,0.0
Baggaly,561.0,whitebeardpirates,piratecaptain,,Alive,,,,,,,,baggaly,0.0,0.0,0.0
Bancro,967.0,rogerpirates,pirate,,Unknown,,,,,,,,bancro,0.0,0.0,0.0
Bankina,41.0,,,eastblue,Deceased,,,,,,,,bankina,0.0,0.0,0.0
Banshee,552.0,spadepirates,,,Alive,,,,,,,,banshee,0.0,0.0,0.0
Banzaburo,960.0,kouzukifamily,retainerofthekouzukifamily,,Deceased,,,,,,wanocountry,,banzaburo,0.0,0.0,0.0
Bao Huang,979.0,beastspirates,shinuchi,,Alive,,,,Flying Squirrel Smile,Artificial Zoan,,,baohuang,0.0,0.0,0.0
Bariete,804.0,mokomodukedom,reconsquad,,Alive,,,,,,zou,,bariete,0.0,0.0,0.0
Barry,552.0,spadepirates,pirate,,Alive,,,,,,,,barry,0.0,0.0,0.0
Bartholomew Kuma,233.0,revolutionaryarmy,armycommanderoftherevolutionaryarmy,southblue,Alive,689.0,,X,Paw-Paw Fruit,Paramecia,sorbetkingdom,296000000.0,bartholomewkuma,0.0,1.0,0.0
Bartolomeo,705.0,bartoclub,captainofthesecondshipofthestrawhatgrandfleet,eastblue,Unknown,220.0,,X,Barrier-Barrier Fruit,Paramecia,,150000000.0,bartolomeo,0.0,0.0,0.0
Basil Hawkins,498.0,hawkinspirates,pirate,northblue,Unknown,210.0,,S,Straw-Straw Fruit,Paramecia,,249000000.0,basilhawkins,1.0,1.0,0.0
Basilisk,528.0,worldgovernment;impeldown,level2guardian,westblue,Alive,,,,,,,,basilisk,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,baskerville,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,baskerville,0.0,0.0,0.0
Baskerville,379.0,worldgovernment,chiefjusticesofenieslobby,grandline,Unknown,512.0,,Bas: XAnd: XFKerville: F,,,,,baskerville,0.0,0.0,0.0
Bastille,553.0,marines,viceadmiral,grandline,Alive,291.0,,F,,,,,bastille,1.0,1.0,0.0
Bat-Man Batman,914.0,beastspirates,gifter,,Alive,,,,Bat Smile,Artificial Zoan,,,bat-manbatman,0.0,0.0,0.0
Baxcon,718.0,tontattakingdomscoutingunit,scout,,Alive,,,,,,,,baxcon,0.0,0.0,0.0
Bazeko,668.0,marines,marineofficer,,Alive,,,,,,g-5,,bazeko,0.0,0.0,0.0
BB BB,805.0,mokomodukedom,guardian,,Alive,,,,,,zou,,bbbb,0.0,0.0,0.0
Beer VI,823.0,,kingoftheroshwankingdom,,Alive,,,,,,roshwankingdom,,beervi,0.0,0.0,0.0
Beeyo,658.0,,,,Alive,,,,,,,,beeyo,0.0,0.0,0.0
Bekori,1097.0,,king,,Unknown,,,,,,sorbetkingdom,,bekori,0.0,0.0,0.0
