name,apparition,affiliations,occupations,origin,status,age,birthday,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty
A.O. (VIZ Media and FUNimation subs);A.O (FUNimation dub),Chapter 551;Episode 460[1],A O Pirates;[2]Subordinate of theWhitebeard Pirates[1][2],Pirate;Captain[1][2],,Unknown,,January 15th[3],,,,,,,
Abdullah,Chapter 704;Episode 633[1],Ideo Pirates[2][3];Straw Hat Grand Fleet[4],"Pirate[3], Criminal;Bounty Hunter(former)[1]",,Alive,,,,,,,,,
Absalom,Chapter 444;Episode 339[1],Thriller Bark Pirates(Mysterious Four)[2](former),Reporter[3]Soldier ZombieandGeneral ZombieLeader[4],West Blue[5],Deceased,"34 (debut)36 (after timeskip, at death)[5]",December 30th[6],"195 cm (6'5"")[5]",300 kg (661 lb)[7],F[5],Clear-Clear Fruit,Paramecia,,
Agilia; Acilia,Chapter 706;Episode 654[1],Corrida Colosseum[1],Gladiator[1],,Alive,,,,,,,,,
Adelle[1],Chapter 608;Episode 527[2],Mermaid Café[3],Dancer[3],Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
Aegir,Chapter 1134[1],,Student[1],,Alive,,,,,,,,Elbaph[1],
,Chapter 959;Episode 960[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,Swallowtail ButterflySMILE,Artificial Zoan,,
Aggie 68,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Agotogi,Chapter 163;Episode 100[1],His own bandit gang[1],Bandit[1],,Alive,,,,,,,,Arabasta[1],
Agushily[1],Chapter 578;Episode 487[2],Ally of theWhitebeard Pirates[2],Pirate;Captain[2],,Alive,,,,,,,,,
Agyo,Chapter 706;Episode 652[1],Corrida Colosseum[1],,,Alive,,November 29th[2],,,,,,,
Dumas Regal IX,Chapter 587;Episode 501[1],Goa Kingdom(High Town)[1],Noble[1],,Alive,,,,,,,,,
Dumas Fayes,Chapter 587;Episode 501[1],Goa Kingdom(High Town)[1],Noble[1],,Alive,,,,,,,,"Goa Kingdom,Dawn Island[1]",
Ahiru,Chapter 905;Episode 883[1],Revolutionary Army[1],East Army Deputy Commander[2],,Alive,,,,,,,,Baltigo(former);Momoiro Island,
Aisa,Chapter 249;[1]Episode 161[2],Shandia;[1]Wagomuland[3],,Sky Islands(Skypiea)[4],Alive,9 (debut)11 (after timeskip)[4],January 3rd[5],"140 cm (4'7"")[4]",,F[4],,,,
Uweshall Notpass,Chapter 548;Episode 451[1],,MarineRear Admiral[2],,Alive,,,,,,,,,"At least ★★(At least200,000,000)[3]"
,Chapter 926;Episode 918[1],,Arms dealer[2],,Alive,,,,,,,,Wano Country(Flower Capital),
Akumai,Chapter 129;Episode 78[1],Baroque Works(Billions)[1],,Grand Line[2],Alive,,December 27th[2],,,,,,,
Aladdin,Chapter 620;Episode 540[1],Sun Pirates;Ryugu Kingdom(former)[2],Pirate;Doctor;First Mate;[3]Soldier(former);Slave(former)[2],Grand Line(Ryugu Kingdom)[4],Alive,46[4],January 31st[5],"627 cm (20'7"")[4]",,XF[4],,,,Unknown[4]
Albion[1],Chapter 600;Episode 519[1],Fake Straw Hat Crew(Former);[1]His own crew[1],Pirate;Captain[1],,Alive,,November 9th[2],,,,,,,"92,000,000[1]"
Alice,Chapter 487(cover);Episode 381(newspaper);[1]One Piece Film: Red[2],Galley-La Company[3],Secretary[3],,Alive,8 (debut)10  (after timeskip)[3],,,,,,,,
Ally,Chapter 658;Episode 583[1],,,,Alive,,,,,,,,,
Alpaca-Man,Chapter 934;Episode 929[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,AlpacaSMILE,Artificial Zoan,,
Alpha,Chapter 1100[1],CP8,Cipher PolAgent;Nurse(undercover)[1],,Alive,Under 27[2][3],,,,,,,,
Alvida,Chapter 2;Episode 1[1],"Cross Guild;[2]Buggy's Delivery,[3]Buggy and Alvida Alliance;Buggy Pirates(Acting Captain, temporarily);Alvida Pirates(formerly)",Pirate Captain;[1],East Blue[4],Alive,25 (debut)27 (after timeskip)[4],March 14th[5],"198 cm (6'6"")[4]",,S[4],"Slip-Slip Fruit (Viz, 4Kids);Smooth-Smooth Fruit (Funimation)",Paramecia,Karai Bari Island;[3]Goat Island(former),"5,000,000[6]"
Amadob,Chapter 558;Episode 467[1],Ally of theWhitebeard Pirates[1],Pirate;Captain[2],,Alive,,June 20th[3],,,,,,,
Amazon,Chapter 238;Episode 153[1],Wagomuland[2],Gatekeeper ofSkypiea(former);[1]Ticket Saleswoman[2],Grand Line(Skypiea)[3],Alive,77 (debut)79 (after timeskip)[3],August 4th[4],"120 cm (3'11"")[3]",,X[3],,,Skypiea[1],
Ratherby Seifer,Chapter 528;Episode 425[1],,,Grand Line[2],Alive,,January 31st[2],,,,,,,"Over15,000,000[3]"
,Chapter 969;Episode 970[1],,,,Unknown,,,,,,,,Wano Country(Flower Capital),
Baskerville,Chapter 379;Episode 267[1],World Government(Enies Lobby)[1],Chief Justices of Enies Lobby[1],Grand Line[2],Unknown,Bas: 48[2]And: 53[2]Kerville: 42[2],Bas: March 30th[2]And: March 31st[2]Kerville: April 1st[2],"512 cm (16'9½"") (combined)[2]",,Bas: X[2]And: XF[2]Kerville: F[2],,,,
Andre,Chapter 558;Episode 479[1],Whitebeard Pirates[1],Pirate;Captain[1],,Alive,,May 19th[2],,,,,,,
Ange,Chapter 1131[1],Walrus School,Language Teacher; Librarian; Saul's Assistant[2],,Alive,,,,,,,,Elbaph(Sun World)[1],
Anjo,Chapter 1;We Are![1],,,East Blue[2],Alive,,January 1st[2],,,,,,,
Ankoro,Chapter 606;Episode 525[1],Flying Pirates[1],Pet,,Alive,,November 23rd[2],,,,,,,
Antonio,Chapter 497;Episode 391[1],Antonio's Graman[1],Store owner[1],,Alive,,January 21st[2],,,,,,Sabaody Archipelago,
Aphelandra,Chapter 514;Episode 408[1],Kuja;[1]Kuja Pirates[2],"Warrior (Former),[1]Pirate[2]",Calm Belt(Amazon Lily)[4],Alive,,August 1st[3],,,,,,Amazon Lily,
Aramaki,Chapter 905;Episode 882[1],Marines[2],Admiral[2]; Police Officer (former)[3],South Blue(Taya Kingdom)[3],Alive,41[4],February 29th[4],"308 cm (10'1"")[4]",,X[4],Woods-Woods Fruit,Logia,Taya Kingdom(former),"(3,000,000,000)[5]"
Peekatha Krotch[1],Chapter 707;Episode 636[2],Corrida Colosseum,,,Alive,,,,,,,,,
Arlong,Chapter 69;Episode 31[1],Arlong Pirates;[1]Sun Pirates(former);[2]Impel Down(former),Pirate Captain;[1]Prisoner of the Great Prison (former),"Grand Line(Ryugu Kingdom,Fish-Man Island)",Alive,39 (debut)41 (after timeskip)[3],May 3rd[4],"263 cm (8'8"")[5]",,F[5],,,Fish-Man District(former)Arlong Park(former),"20,000,000[6][7]"
